acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.337,0.867,-0.193,-26.337,8.102,-6.86,brushing
0.337,0.867,-0.193,-23.73,8.33,-8.33,brushing
0.344,0.86,-0.194,-23.73,8.33,-8.33,brushing
0.344,0.86,-0.194,-21.07,9.38,-9.73,brushing
0.349,0.861,-0.191,-21.07,9.38,-9.73,brushing
0.349,0.861,-0.191,-18.812,10.062,-11.252,brushing
0.356,0.865,-0.188,-18.812,10.062,-11.252,brushing
0.356,0.865,-0.188,-16.73,9.975,-12.565,brushing
0.363,0.871,-0.177,-16.73,9.975,-12.565,brushing
0.363,0.871,-0.177,-14.507,8.785,-13.545,brushing
0.371,0.877,-0.167,-14.507,8.785,-13.545,brushing
0.371,0.877,-0.167,-11.987,7.297,-14.052,brushing
0.377,0.883,-0.164,-11.987,7.297,-14.052,brushing
0.377,0.883,-0.164,-9.24,5.915,-14.035,brushing
0.384,0.895,-0.159,-9.24,5.915,-14.035,brushing
0.384,0.895,-0.159,-6.737,2.712,-13.632,brushing
0.391,0.898,-0.163,-6.737,2.712,-13.632,brushing
0.391,0.898,-0.163,-4.585,-1.19,-13.055,brushing
0.397,0.897,-0.169,-4.585,-1.19,-13.055,brushing
0.399,0.902,-0.177,-4.585,-1.19,-13.055,brushing
0.399,0.902,-0.177,-2.8,-3.745,-12.302,brushing
0.404,0.909,-0.183,-2.8,-3.745,-12.302,brushing
0.404,0.909,-0.183,-1.4,-5.267,-11.392,brushing
0.4,0.92,-0.186,-1.4,-5.267,-11.392,brushing
0.4,0.92,-0.186,-0.297,-5.775,-9.817,brushing
0.397,0.934,-0.183,-0.297,-5.775,-9.817,brushing
0.397,0.934,-0.183,0.84,-6.51,-7.612,brushing
0.396,0.942,-0.183,0.84,-6.51,-7.612,brushing
0.396,0.942,-0.183,2.065,-7.455,-4.987,brushing
0.398,0.944,-0.187,2.065,-7.455,-4.987,brushing
0.398,0.944,-0.187,3.447,-8.487,-2.485,brushing
0.395,0.944,-0.195,3.447,-8.487,-2.485,brushing
0.395,0.944,-0.195,4.655,-9.275,-0.297,brushing
0.39,0.945,-0.206,4.655,-9.275,-0.297,brushing
0.39,0.945,-0.206,5.39,-10.482,1.732,brushing
0.381,0.939,-0.207,5.39,-10.482,1.732,brushing
0.381,0.939,-0.207,5.88,-12.215,3.447,brushing
