acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.376,0.5,0.745,4.567,-2.695,-1.12,chopping
-0.376,0.5,0.745,4.06,-2.677,-0.787,chopping
-0.376,0.504,0.742,4.06,-2.677,-0.787,chopping
-0.376,0.504,0.742,3.535,-3.272,-0.56,chopping
-0.377,0.505,0.743,3.535,-3.272,-0.56,chopping
-0.375,0.505,0.744,3.535,-3.272,-0.56,chopping
-0.375,0.505,0.744,2.992,-3.85,-0.332,chopping
-0.375,0.503,0.742,2.992,-3.85,-0.332,chopping
-0.375,0.503,0.742,2.572,-4.13,-0.035,chopping
-0.374,0.503,0.74,2.572,-4.13,-0.035,chopping
-0.374,0.503,0.74,2.1,-4.235,0.297,chopping
-0.374,0.506,0.743,2.1,-4.235,0.297,chopping
-0.374,0.506,0.743,1.452,-4.602,0.56,chopping
-0.374,0.507,0.743,1.452,-4.602,0.56,chopping
-0.374,0.507,0.743,0.805,-5.04,0.682,chopping
-0.372,0.506,0.743,0.805,-5.04,0.682,chopping
-0.372,0.506,0.743,0.332,-5.075,0.962,chopping
-0.374,0.505,0.741,0.332,-5.075,0.962,chopping
-0.374,0.505,0.741,0.157,-5.215,1.347,chopping
-0.376,0.504,0.74,0.157,-5.215,1.347,chopping
-0.376,0.504,0.74,0.14,-5.442,1.61,chopping
-0.377,0.502,0.739,0.14,-5.442,1.61,chopping
-0.377,0.502,0.739,0.192,-5.022,1.68,chopping
-0.378,0.506,0.739,0.192,-5.022,1.68,chopping
-0.378,0.509,0.739,0.192,-5.022,1.68,chopping
-0.378,0.509,0.739,0.262,-4.777,1.68,chopping
-0.378,0.513,0.74,0.262,-4.777,1.68,chopping
-0.378,0.513,0.74,0.227,-5.162,1.54,chopping
-0.378,0.51,0.74,0.227,-5.162,1.54,chopping
-0.378,0.51,0.74,0.21,-5.967,1.277,chopping
-0.379,0.507,0.738,0.21,-5.967,1.277,chopping
-0.379,0.507,0.738,0.315,-6.282,1.015,chopping
-0.38,0.504,0.741,0.315,-6.282,1.015,chopping
-0.38,0.504,0.741,0.542,-6.02,0.735,chopping
-0.381,0.502,0.74,0.542,-6.02,0.735,chopping
-0.381,0.502,0.74,0.945,-5.46,0.577,chopping
-0.383,0.501,0.739,0.945,-5.46,0.577,chopping
-0.383,0.501,0.739,1.295,-4.952,0.455,chopping
-0.383,0.502,0.74,1.295,-4.952,0.455,chopping
-0.383,0.502,0.74,1.61,-4.795,0.175,chopping
-0.382,0.503,0.742,1.61,-4.795,0.175,chopping
-0.381,0.503,0.742,1.82,-4.585,-0.157,chopping
-0.38,0.503,0.74,1.82,-4.585,-0.157,chopping
-0.38,0.503,0.74,2.012,-4.48,-0.42,chopping
-0.379,0.505,0.74,2.012,-4.48,-0.42,chopping
-0.379,0.505,0.74,2.082,-4.322,-0.595,chopping
-0.38,0.505,0.742,2.082,-4.322,-0.595,chopping
-0.38,0.505,0.742,2.135,-4.427,-0.612,chopping
-0.381,0.505,0.742,2.135,-4.427,-0.612,chopping
-0.381,0.505,0.742,2.117,-4.777,-0.717,chopping
-0.38,0.504,0.742,2.117,-4.777,-0.717,chopping
-0.38,0.504,0.742,2.082,-5.197,-0.84,chopping
-0.381,0.504,0.741,2.082,-5.197,-0.84,chopping
-0.381,0.504,0.741,2.1,-5.337,-1.015,chopping
-0.382,0.506,0.741,2.1,-5.337,-1.015,chopping
-0.382,0.506,0.741,2.117,-5.967,-1.155,chopping
-0.379,0.51,0.737,2.117,-5.967,-1.155,chopping
-0.379,0.51,0.737,1.907,-6.93,-1.137,chopping
-0.377,0.517,0.741,1.907,-6.93,-1.137,chopping
-0.377,0.518,0.743,1.54,-9.327,-0.84,chopping
-0.379,0.512,0.744,1.54,-9.327,-0.84,chopping
-0.379,0.512,0.744,1.225,-12.845,-0.507,chopping
-0.385,0.499,0.747,1.225,-12.845,-0.507,chopping
-0.385,0.499,0.747,1.155,-15.802,-0.332,chopping
-0.383,0.492,0.743,1.155,-15.802,-0.332,chopping
-0.383,0.492,0.743,1.33,-17.01,-0.122,chopping
-0.383,0.472,0.74,1.33,-17.01,-0.122,chopping
-0.383,0.472,0.74,1.417,-15.347,0.122,chopping
-0.383,0.469,0.748,1.417,-15.347,0.122,chopping
-0.383,0.469,0.748,1.662,-10.43,0.315,chopping
-0.382,0.478,0.75,1.662,-10.43,0.315,chopping
-0.382,0.478,0.75,1.872,-6.702,0.245,chopping
-0.381,0.482,0.75,1.872,-6.702,0.245,chopping
-0.381,0.482,0.75,2.082,-4.655,-0.017,chopping
-0.382,0.497,0.749,2.082,-4.655,-0.017,chopping
-0.382,0.497,0.749,2.275,-4.935,-0.21,chopping
-0.381,0.497,0.746,2.275,-4.935,-0.21,chopping
-0.377,0.492,0.747,2.275,-4.935,-0.21,chopping
-0.377,0.492,0.747,2.31,-5.442,-0.227,chopping
-0.377,0.489,0.748,2.31,-5.442,-0.227,chopping
-0.377,0.489,0.748,2.222,-5.565,-0.07,chopping
-0.378,0.487,0.748,2.222,-5.565,-0.07,chopping
-0.378,0.487,0.748,2.03,-5.337,0.227,chopping
-0.379,0.487,0.749,2.03,-5.337,0.227,chopping
-0.379,0.487,0.749,1.417,-5.337,0.56,chopping
-0.378,0.488,0.754,1.417,-5.337,0.56,chopping
-0.378,0.488,0.754,0.63,-5.337,0.525,chopping
-0.378,0.49,0.754,0.63,-5.337,0.525,chopping
-0.378,0.49,0.754,-0.052,-5.39,0.7,chopping
-0.381,0.488,0.753,-0.052,-5.39,0.7,chopping
-0.381,0.488,0.753,-0.49,-5.74,0.962,chopping
-0.381,0.486,0.75,-0.49,-5.74,0.962,chopping
-0.381,0.486,0.75,-0.752,-5.862,1.225,chopping
-0.383,0.483,0.748,-0.752,-5.862,1.225,chopping
-0.383,0.483,0.748,-0.717,-5.46,1.557,chopping
-0.385,0.485,0.748,-0.717,-5.46,1.557,chopping
-0.388,0.484,0.749,-0.717,-5.46,1.557,chopping
-0.388,0.484,0.749,-0.542,-5.232,1.732,chopping
-0.387,0.484,0.748,-0.542,-5.232,1.732,chopping
-0.387,0.484,0.748,-0.245,-4.847,1.645,chopping
-0.386,0.488,0.748,-0.245,-4.847,1.645,chopping
-0.386,0.488,0.748,0.21,-4.515,1.417,chopping
-0.383,0.499,0.755,0.21,-4.515,1.417,chopping
-0.383,0.499,0.755,0.805,-5.652,1.137,chopping
-0.379,0.496,0.749,0.805,-5.652,1.137,chopping
-0.379,0.496,0.749,1.137,-7.647,1.067,chopping
-0.378,0.485,0.744,1.137,-7.647,1.067,chopping
-0.378,0.485,0.744,1.085,-6.055,1.382,chopping
-0.389,0.484,0.742,1.085,-6.055,1.382,chopping
-0.389,0.484,0.742,1.015,-3.885,1.522,chopping
-0.386,0.495,0.75,1.015,-3.885,1.522,chopping
-0.386,0.495,0.75,1.19,-5.635,1.032,chopping
-0.384,0.491,0.751,1.19,-5.635,1.032,chopping
-0.384,0.491,0.751,1.277,-6.002,0.752,chopping
-0.383,0.489,0.743,1.277,-6.002,0.752,chopping
-0.385,0.493,0.749,1.277,-6.002,0.752,chopping
-0.385,0.493,0.749,1.277,-4.987,0.665,chopping
-0.386,0.49,0.748,1.277,-4.987,0.665,chopping
-0.386,0.49,0.748,1.47,-5.442,0.507,chopping
-0.385,0.487,0.746,1.47,-5.442,0.507,chopping
-0.385,0.487,0.746,1.715,-5.407,0.472,chopping
-0.386,0.486,0.746,1.715,-5.407,0.472,chopping
-0.386,0.486,0.746,1.907,-5.005,0.525,chopping
-0.387,0.486,0.746,1.907,-5.005,0.525,chopping
-0.387,0.486,0.746,2.012,-4.602,0.332,chopping
-0.385,0.488,0.748,2.012,-4.602,0.332,chopping
-0.385,0.488,0.748,2.065,-4.375,0.175,chopping
-0.383,0.489,0.749,2.065,-4.375,0.175,chopping
-0.383,0.489,0.749,2.082,-4.13,0.017,chopping
-0.384,0.49,0.75,2.082,-4.13,0.017,chopping
-0.384,0.49,0.75,2.065,-4.182,-0.157,chopping
-0.384,0.49,0.748,2.065,-4.182,-0.157,chopping
-0.384,0.491,0.748,1.942,-4.427,-0.227,chopping
-0.384,0.488,0.747,1.942,-4.427,-0.227,chopping
-0.384,0.488,0.747,1.89,-4.462,-0.245,chopping
-0.384,0.487,0.747,1.89,-4.462,-0.245,chopping
-0.384,0.487,0.747,1.837,-4.2,-0.35,chopping
-0.384,0.49,0.748,1.837,-4.2,-0.35,chopping
-0.384,0.49,0.748,1.785,-3.937,-0.385,chopping
-0.383,0.493,0.746,1.785,-3.937,-0.385,chopping
-0.383,0.493,0.746,1.75,-4.165,-0.42,chopping
-0.383,0.494,0.747,1.75,-4.165,-0.42,chopping
-0.383,0.494,0.747,1.575,-4.62,-0.542,chopping
-0.384,0.492,0.749,1.575,-4.62,-0.542,chopping
-0.384,0.492,0.749,1.522,-5.022,-0.7,chopping
-0.385,0.49,0.748,1.522,-5.022,-0.7,chopping
-0.385,0.49,0.748,1.54,-4.987,-0.717,chopping
-0.386,0.49,0.747,1.54,-4.987,-0.717,chopping
-0.386,0.49,0.747,1.697,-5.022,-0.647,chopping
-0.386,0.486,0.746,1.697,-5.022,-0.647,chopping
-0.386,0.489,0.746,1.697,-5.022,-0.647,chopping
-0.386,0.489,0.746,1.96,-4.707,-0.665,chopping
-0.387,0.49,0.746,1.96,-4.707,-0.665,chopping
-0.387,0.49,0.746,2.187,-4.567,-0.735,chopping
-0.386,0.489,0.747,2.187,-4.567,-0.735,chopping
-0.386,0.489,0.747,2.415,-4.655,-0.91,chopping
-0.386,0.491,0.746,2.415,-4.655,-0.91,chopping
-0.386,0.491,0.746,2.59,-4.55,-1.015,chopping
-0.386,0.494,0.747,2.59,-4.55,-1.015,chopping
-0.386,0.494,0.747,2.572,-4.812,-1.312,chopping
-0.385,0.495,0.749,2.572,-4.812,-1.312,chopping
-0.385,0.495,0.749,2.485,-5.145,-1.557,chopping
-0.384,0.488,0.748,2.485,-5.145,-1.557,chopping
-0.384,0.488,0.748,2.572,-5.057,-1.54,chopping
-0.386,0.486,0.747,2.572,-5.057,-1.54,chopping
-0.386,0.486,0.747,2.642,-4.865,-1.382,chopping
-0.387,0.487,0.747,2.642,-4.865,-1.382,chopping
-0.387,0.487,0.747,2.73,-4.9,-1.19,chopping
-0.385,0.487,0.748,2.73,-4.9,-1.19,chopping
-0.385,0.488,0.749,2.73,-4.9,-1.19,chopping
-0.385,0.488,0.749,2.677,-4.795,-1.015,chopping
-0.385,0.489,0.749,2.677,-4.795,-1.015,chopping
-0.385,0.489,0.749,2.607,-4.777,-1.032,chopping
-0.386,0.489,0.748,2.607,-4.777,-1.032,chopping
-0.386,0.489,0.748,2.677,-4.707,-1.085,chopping
-0.386,0.49,0.747,2.677,-4.707,-1.085,chopping
-0.386,0.49,0.747,2.765,-4.725,-1.225,chopping
-0.386,0.488,0.748,2.765,-4.725,-1.225,chopping
-0.386,0.488,0.748,2.782,-4.707,-1.33,chopping
-0.384,0.488,0.749,2.782,-4.707,-1.33,chopping
-0.384,0.488,0.749,2.957,-4.69,-1.365,chopping
-0.386,0.487,0.747,2.957,-4.69,-1.365,chopping
-0.386,0.487,0.747,3.027,-4.515,-1.207,chopping
