acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.365,0.371,0.823,2.695,-4.182,-0.857,cleaning
-0.365,0.371,0.823,2.712,-4.252,-0.805,cleaning
-0.363,0.367,0.82,2.712,-4.252,-0.805,cleaning
-0.363,0.367,0.82,2.8,-4.375,-0.717,cleaning
-0.361,0.368,0.823,2.8,-4.375,-0.717,cleaning
-0.361,0.368,0.823,2.73,-4.147,-0.717,cleaning
-0.364,0.373,0.825,2.73,-4.147,-0.717,cleaning
-0.364,0.373,0.825,2.52,-4.322,-0.787,cleaning
-0.362,0.368,0.824,2.52,-4.322,-0.787,cleaning
-0.362,0.368,0.824,2.362,-4.322,-0.875,cleaning
-0.364,0.369,0.825,2.362,-4.322,-0.875,cleaning
-0.364,0.369,0.825,2.397,-4.235,-0.77,cleaning
-0.365,0.366,0.821,2.397,-4.235,-0.77,cleaning
-0.365,0.366,0.821,2.607,-4.025,-0.7,cleaning
-0.366,0.367,0.82,2.607,-4.025,-0.7,cleaning
-0.363,0.37,0.821,2.747,-3.797,-0.7,cleaning
-0.362,0.371,0.824,2.747,-3.797,-0.7,cleaning
-0.362,0.371,0.824,2.782,-4.06,-0.682,cleaning
-0.364,0.369,0.824,2.782,-4.06,-0.682,cleaning
-0.364,0.369,0.824,2.765,-4.34,-0.805,cleaning
-0.364,0.368,0.822,2.765,-4.34,-0.805,cleaning
-0.364,0.368,0.822,2.782,-3.955,-0.962,cleaning
-0.365,0.371,0.823,2.782,-3.955,-0.962,cleaning
-0.365,0.371,0.823,2.765,-3.587,-1.015,cleaning
-0.362,0.372,0.822,2.765,-3.587,-1.015,cleaning
-0.362,0.372,0.822,2.677,-3.832,-0.98,cleaning
-0.361,0.371,0.823,2.677,-3.832,-0.98,cleaning
-0.361,0.371,0.823,2.467,-4.165,-0.822,cleaning
-0.361,0.37,0.826,2.467,-4.165,-0.822,cleaning
-0.361,0.37,0.826,2.187,-4.585,-0.63,cleaning
-0.363,0.37,0.825,2.187,-4.585,-0.63,cleaning
-0.363,0.37,0.825,1.977,-4.97,-0.577,cleaning
-0.366,0.368,0.823,1.977,-4.97,-0.577,cleaning
-0.368,0.369,0.821,1.977,-4.97,-0.577,cleaning
-0.368,0.369,0.821,1.89,-4.935,-0.647,cleaning
-0.366,0.37,0.82,1.89,-4.935,-0.647,cleaning
-0.366,0.37,0.82,1.96,-4.69,-0.787,cleaning
-0.364,0.37,0.821,1.96,-4.69,-0.787,cleaning
-0.364,0.37,0.821,2.152,-4.515,-0.892,cleaning
-0.362,0.369,0.82,2.152,-4.515,-0.892,cleaning
-0.362,0.369,0.82,2.45,-4.27,-0.84,cleaning
-0.362,0.369,0.823,2.45,-4.27,-0.84,cleaning
-0.362,0.369,0.823,2.485,-4.287,-0.77,cleaning
-0.362,0.373,0.826,2.485,-4.287,-0.77,cleaning
-0.362,0.373,0.826,2.257,-4.935,-0.63,cleaning
-0.363,0.369,0.825,2.257,-4.935,-0.63,cleaning
-0.363,0.369,0.825,2.047,-5.442,-0.455,cleaning
-0.366,0.366,0.823,2.047,-5.442,-0.455,cleaning
-0.366,0.366,0.823,2.065,-5.162,-0.385,cleaning
-0.365,0.368,0.822,2.065,-5.162,-0.385,cleaning
-0.365,0.368,0.822,2.17,-4.9,-0.402,cleaning
-0.365,0.37,0.822,2.17,-4.9,-0.402,cleaning
-0.363,0.37,0.822,2.17,-4.9,-0.402,cleaning
-0.363,0.37,0.822,2.31,-4.847,-0.315,cleaning
-0.365,0.371,0.822,2.31,-4.847,-0.315,cleaning
-0.365,0.371,0.822,2.432,-4.795,-0.332,cleaning
-0.364,0.369,0.822,2.432,-4.795,-0.332,cleaning
-0.364,0.369,0.822,2.485,-4.742,-0.297,cleaning
-0.361,0.375,0.819,2.485,-4.742,-0.297,cleaning
-0.361,0.375,0.819,2.362,-4.76,-0.192,cleaning
-0.362,0.383,0.813,2.362,-4.76,-0.192,cleaning
-0.362,0.383,0.813,1.872,-5.197,0.227,cleaning
-0.366,0.383,0.816,1.872,-5.197,0.227,cleaning
-0.366,0.383,0.816,1.382,-6.317,0.612,cleaning
-0.368,0.372,0.82,1.382,-6.317,0.612,cleaning
-0.368,0.372,0.82,1.295,-6.93,0.822,cleaning
-0.363,0.359,0.824,1.295,-6.93,0.822,cleaning
-0.363,0.359,0.824,1.365,-6.457,0.63,cleaning
-0.369,0.356,0.832,1.365,-6.457,0.63,cleaning
-0.369,0.356,0.832,1.837,-5.582,0.315,cleaning
-0.363,0.355,0.832,1.837,-5.582,0.315,cleaning
-0.363,0.359,0.83,1.837,-5.582,0.315,cleaning
-0.363,0.359,0.83,2.135,-5.092,0.087,cleaning
