acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
-0.121,0.482,0.802,17.517,-6.352,-1.592,pick_drop
-0.121,0.487,0.788,17.517,-6.352,-1.592,pick_drop
-0.124,0.498,0.773,17.517,-6.352,-1.592,pick_drop
-0.124,0.498,0.773,15.417,-3.272,-1.452,pick_drop
-0.12,0.493,0.754,15.417,-3.272,-1.452,pick_drop
-0.12,0.493,0.754,13.44,-1.12,-1.61,pick_drop
-0.119,0.499,0.752,13.44,-1.12,-1.61,pick_drop
-0.119,0.499,0.752,11.707,0.455,-2.187,pick_drop
-0.109,0.501,0.756,11.707,0.455,-2.187,pick_drop
-0.109,0.501,0.756,10.202,1.732,-3.377,pick_drop
-0.099,0.521,0.771,10.202,1.732,-3.377,pick_drop
-0.099,0.521,0.771,8.382,2.607,-4.847,pick_drop
-0.088,0.535,0.789,8.382,2.607,-4.847,pick_drop
-0.088,0.535,0.789,6.23,2.152,-6.02,pick_drop
-0.078,0.549,0.802,6.23,2.152,-6.02,pick_drop
-0.078,0.549,0.802,4.095,1.19,-5.792,pick_drop
-0.069,0.54,0.803,4.095,1.19,-5.792,pick_drop
-0.069,0.54,0.803,2.03,0.385,-4.725,pick_drop
-0.066,0.536,0.803,2.03,0.385,-4.725,pick_drop
-0.066,0.536,0.803,0.017,-0.595,-3.517,pick_drop
-0.06,0.528,0.811,0.017,-0.595,-3.517,pick_drop
-0.061,0.523,0.834,0.017,-0.595,-3.517,pick_drop
-0.061,0.523,0.834,-1.365,-1.452,-2.572,pick_drop
-0.065,0.515,0.847,-1.365,-1.452,-2.572,pick_drop
-0.065,0.515,0.847,-1.645,-1.89,-1.995,pick_drop
-0.07,0.5,0.843,-1.645,-1.89,-1.995,pick_drop
-0.07,0.5,0.843,-0.77,-1.54,-2.152,pick_drop
-0.076,0.491,0.844,-0.77,-1.54,-2.152,pick_drop
-0.076,0.491,0.844,0.805,0.507,-3.255,pick_drop
-0.086,0.479,0.856,0.805,0.507,-3.255,pick_drop
-0.086,0.479,0.856,3.762,4.48,-5.495,pick_drop
-0.104,0.461,0.862,3.762,4.48,-5.495,pick_drop
-0.104,0.461,0.862,8.767,10.325,-9.432,pick_drop
-0.116,0.442,0.852,8.767,10.325,-9.432,pick_drop
-0.116,0.442,0.852,15.067,18.532,-14.98,pick_drop
-0.114,0.444,0.843,15.067,18.532,-14.98,pick_drop
-0.114,0.444,0.843,21.245,26.547,-20.667,pick_drop
-0.094,0.48,0.828,21.245,26.547,-20.667,pick_drop
-0.094,0.48,0.828,24.867,29.102,-24.762,pick_drop
-0.06,0.534,0.805,24.867,29.102,-24.762,pick_drop
-0.037,0.585,0.799,24.867,29.102,-24.762,pick_drop
-0.037,0.585,0.799,23.765,24.797,-24.955,pick_drop
-0.032,0.628,0.813,23.765,24.797,-24.955,pick_drop
-0.032,0.628,0.813,19.372,16.117,-21.035,pick_drop
-0.027,0.641,0.801,19.372,16.117,-21.035,pick_drop
-0.027,0.641,0.801,13.51,6.492,-14.56,pick_drop
-0.027,0.641,0.771,13.51,6.492,-14.56,pick_drop
-0.027,0.641,0.771,7.122,0.192,-7.262,pick_drop
-0.035,0.648,0.761,7.122,0.192,-7.262,pick_drop
-0.035,0.648,0.761,1.382,-5.25,-0.315,pick_drop
-0.041,0.643,0.765,1.382,-5.25,-0.315,pick_drop
-0.041,0.643,0.765,-2.905,-10.99,5.145,pick_drop
-0.049,0.622,0.768,-2.905,-10.99,5.145,pick_drop
-0.049,0.622,0.768,-5.565,-14.525,8.557,pick_drop
-0.058,0.601,0.769,-5.565,-14.525,8.557,pick_drop
-0.058,0.601,0.769,-6.545,-15.627,10.08,pick_drop
-0.069,0.587,0.776,-6.545,-15.627,10.08,pick_drop
-0.078,0.582,0.789,-6.282,-14.962,10.167,pick_drop
-0.082,0.569,0.784,-6.282,-14.962,10.167,pick_drop
-0.082,0.569,0.784,-5.407,-12.827,9.695,pick_drop
-0.084,0.571,0.776,-5.407,-12.827,9.695,pick_drop
-0.084,0.571,0.776,-4.777,-9.362,9.642,pick_drop
