time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
3537848688,-64,-26,979,2432,-4410,-875,idle+Y
3537852372,-65,-25,978,2432,-4410,-875,idle+Y
3537867658,-65,-25,978,2432,-4410,-840,idle+Y
3537869510,-65,-25,979,2432,-4410,-840,idle+Y
3537886935,-65,-26,979,2467,-4427,-857,idle+Y
3537904066,-64,-26,979,2467,-4427,-857,idle+Y
3537906223,-64,-26,979,2450,-4410,-875,idle+Y
3537921204,-65,-26,979,2450,-4410,-875,idle+Y
3537925499,-65,-26,979,2467,-4410,-875,idle+Y
3537938647,-65,-25,979,2467,-4410,-875,idle+Y
3537944470,-65,-25,979,2485,-4392,-875,idle+Y
3537955787,-65,-25,979,2485,-4392,-875,idle+Y
3537963745,-65,-25,979,2467,-4427,-857,idle+Y
3537972925,-65,-25,979,2467,-4427,-857,idle+Y
3537983020,-65,-25,979,2485,-4427,-857,idle+Y
3537990062,-64,-25,979,2485,-4427,-857,idle+Y
3538001989,-64,-25,979,2432,-4427,-892,idle+Y
3538007506,-64,-25,978,2432,-4427,-892,idle+Y
3538021266,-64,-25,978,2450,-4392,-857,idle+Y
3538024645,-64,-25,979,2450,-4392,-857,idle+Y
3538040541,-64,-25,979,2450,-4427,-857,idle+Y
3538041783,-64,-25,979,2450,-4427,-857,idle+Y
3538059206,-64,-25,979,2450,-4427,-857,idle+Y
3538059836,-64,-25,979,2450,-4445,-892,idle+Y
3538076344,-64,-26,979,2450,-4445,-892,idle+Y
3538078807,-64,-26,979,2415,-4462,-857,idle+Y
3538093482,-65,-25,979,2415,-4462,-857,idle+Y
3538098082,-65,-25,979,2432,-4427,-857,idle+Y
3538110924,-64,-25,978,2432,-4427,-857,idle+Y
3538117356,-64,-25,978,2467,-4410,-875,idle+Y
3538128062,-65,-25,978,2467,-4410,-875,idle+Y
3538136326,-65,-25,978,2450,-4410,-875,idle+Y
3538145200,-65,-25,979,2450,-4410,-875,idle+Y
3538155602,-65,-25,979,2432,-4392,-840,idle+Y
3538162339,-65,-25,978,2432,-4392,-840,idle+Y
3538174878,-65,-25,978,2467,-4427,-875,idle+Y
3538179783,-64,-25,979,2467,-4427,-875,idle+Y
3538194153,-64,-25,979,2485,-4410,-875,idle+Y
3538196921,-65,-26,979,2485,-4410,-875,idle+Y
3538213125,-65,-26,979,2432,-4427,-822,idle+Y
3538214061,-65,-25,978,2432,-4427,-822,idle+Y
3538231484,-64,-26,979,2432,-4427,-822,idle+Y
3538232421,-64,-26,979,2450,-4410,-857,idle+Y
3538248623,-64,-26,979,2450,-4410,-857,idle+Y
3538251697,-64,-26,979,2467,-4410,-875,idle+Y
3538265762,-64,-25,979,2467,-4410,-875,idle+Y
3538270667,-64,-25,979,2432,-4427,-875,idle+Y
3538283205,-65,-25,979,2432,-4427,-875,idle+Y
3538289942,-65,-25,979,2485,-4410,-875,idle+Y
3538300343,-64,-25,978,2485,-4410,-875,idle+Y
3538309218,-64,-25,978,2450,-4392,-875,idle+Y
3538317481,-64,-25,978,2450,-4392,-875,idle+Y
3538328492,-64,-25,978,2450,-4427,-875,idle+Y
3538334924,-64,-25,979,2450,-4427,-875,idle+Y
3538347462,-64,-25,979,2450,-4427,-857,idle+Y
3538352061,-65,-25,978,2450,-4427,-857,idle+Y
3538366737,-65,-25,978,2415,-4427,-857,idle+Y
3538369200,-64,-26,979,2415,-4427,-857,idle+Y
3538386013,-64,-26,979,2450,-4427,-875,idle+Y
3538386643,-65,-26,978,2450,-4427,-875,idle+Y
3538403761,-65,-25,978,2450,-4427,-875,idle+Y
3538405002,-65,-25,978,2432,-4445,-840,idle+Y
3538420899,-65,-25,978,2432,-4445,-840,idle+Y
3538424278,-65,-25,978,2450,-4410,-857,idle+Y
3538438038,-65,-25,978,2450,-4410,-857,idle+Y
3538443554,-65,-25,978,2450,-4410,-857,idle+Y
3538455482,-65,-26,978,2450,-4410,-857,idle+Y
3538462830,-65,-26,978,2450,-4427,-875,idle+Y
3538472621,-65,-25,978,2450,-4427,-875,idle+Y
3538481800,-65,-25,978,2467,-4410,-840,idle+Y
3538489759,-64,-25,979,2467,-4410,-840,idle+Y
3538501076,-64,-25,979,2450,-4427,-822,idle+Y
3538507203,-65,-25,978,2450,-4427,-822,idle+Y
3538520352,-65,-25,978,2467,-4445,-875,idle+Y
3538524341,-65,-26,978,2467,-4445,-875,idle+Y
3538539322,-65,-26,978,2450,-4427,-857,idle+Y
