time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
3707018001,230,-25,-985,2415,-4445,-875,idle-Y
3707022602,231,-25,-984,2415,-4445,-875,idle-Y
3707037277,231,-25,-984,2415,-4445,-857,idle-Y
3707039740,230,-25,-985,2415,-4445,-857,idle-Y
3707056247,230,-25,-985,2415,-4462,-892,idle-Y
3707056878,229,-25,-984,2415,-4462,-892,idle-Y
3707074302,230,-25,-984,2415,-4462,-892,idle-Y
3707075544,230,-25,-984,2432,-4445,-857,idle-Y
3707091442,230,-25,-984,2432,-4445,-857,idle-Y
3707094822,230,-25,-984,2467,-4445,-875,idle-Y
3707108582,230,-25,-984,2467,-4445,-875,idle-Y
3707113792,230,-25,-984,2432,-4445,-875,idle-Y
3707126025,230,-25,-984,2432,-4445,-875,idle-Y
3707133068,230,-25,-984,2450,-4427,-892,idle-Y
3707143163,230,-24,-984,2450,-4427,-892,idle-Y
3707152343,230,-24,-984,2450,-4462,-875,idle-Y
3707160303,230,-25,-985,2450,-4462,-875,idle-Y
3707171619,230,-25,-985,2450,-4427,-857,idle-Y
3707177746,230,-25,-985,2450,-4427,-857,idle-Y
3707190589,230,-25,-985,2432,-4427,-857,idle-Y
3707194884,230,-25,-985,2432,-4427,-857,idle-Y
3707209863,230,-25,-985,2380,-4462,-875,idle-Y
3707212022,230,-25,-984,2380,-4462,-875,idle-Y
3707229141,230,-25,-984,2397,-4427,-892,idle-Y
3707229771,230,-25,-984,2397,-4427,-892,idle-Y
3707246583,230,-25,-985,2397,-4427,-892,idle-Y
3707248130,230,-25,-985,2432,-4427,-892,idle-Y
3707263721,230,-25,-984,2432,-4427,-892,idle-Y
3707267406,230,-25,-984,2450,-4427,-857,idle-Y
3707280861,229,-24,-984,2450,-4427,-857,idle-Y
3707286683,229,-24,-984,2415,-4410,-875,idle-Y
3707298305,230,-25,-984,2415,-4410,-875,idle-Y
3707305958,230,-25,-984,2432,-4427,-910,idle-Y
3707315443,230,-25,-984,2432,-4427,-910,idle-Y
3707324930,230,-25,-984,2450,-4427,-875,idle-Y
3707332583,230,-25,-984,2450,-4427,-875,idle-Y
3707344205,230,-25,-984,2432,-4410,-875,idle-Y
3707350027,230,-25,-984,2432,-4410,-875,idle-Y
3707363482,230,-25,-984,2432,-4410,-857,idle-Y
3707367167,229,-24,-984,2432,-4410,-857,idle-Y
3707382453,229,-24,-984,2397,-4427,-840,idle-Y
3707384306,229,-24,-985,2397,-4427,-840,idle-Y
3707401729,230,-24,-984,2415,-4427,-875,idle-Y
3707418860,230,-25,-984,2415,-4427,-875,idle-Y
3707421018,230,-25,-984,2432,-4445,-875,idle-Y
3707435999,230,-25,-984,2432,-4445,-875,idle-Y
3707440294,230,-25,-984,2432,-4427,-840,idle-Y
3707453442,230,-24,-984,2432,-4427,-840,idle-Y
3707459265,230,-24,-984,2432,-4427,-875,idle-Y
3707470581,230,-25,-984,2432,-4427,-875,idle-Y
3707478540,230,-25,-984,2450,-4445,-840,idle-Y
3707487720,230,-25,-985,2450,-4445,-840,idle-Y
3707497815,230,-25,-985,2450,-4427,-857,idle-Y
3707505163,230,-25,-984,2450,-4427,-857,idle-Y
3707517089,230,-25,-984,2415,-4445,-875,idle-Y
3707522299,230,-24,-985,2415,-4445,-875,idle-Y
3707536058,230,-24,-985,2415,-4427,-857,idle-Y
3707539436,230,-25,-984,2415,-4427,-857,idle-Y
3707555334,230,-25,-984,2432,-4445,-875,idle-Y
3707556575,230,-25,-984,2432,-4445,-875,idle-Y
3707573999,230,-24,-984,2432,-4445,-875,idle-Y
3707574630,230,-24,-984,2415,-4427,-892,idle-Y
3707591138,230,-24,-985,2415,-4427,-892,idle-Y
3707593602,230,-24,-985,2432,-4427,-892,idle-Y
3707608277,230,-25,-985,2432,-4427,-892,idle-Y
3707612877,230,-25,-985,2415,-4445,-875,idle-Y
3707625720,230,-25,-984,2415,-4445,-875,idle-Y
3707632153,230,-25,-984,2415,-4445,-875,idle-Y
3707642859,230,-25,-984,2415,-4445,-875,idle-Y
3707651427,230,-25,-984,2432,-4410,-857,idle-Y
3707659997,229,-25,-984,2432,-4410,-857,idle-Y
3707670397,229,-25,-984,2415,-4410,-875,idle-Y
3707677440,230,-25,-984,2415,-4410,-875,idle-Y
3707689672,230,-25,-984,2432,-4410,-910,idle-Y
3707694577,230,-25,-985,2432,-4410,-910,idle-Y
3707708948,230,-25,-985,2467,-4410,-875,idle-Y
3707711717,230,-25,-984,2467,-4410,-875,idle-Y
3707728224,230,-25,-984,2432,-4410,-857,idle-Y
3707729161,230,-25,-985,2432,-4410,-857,idle-Y
3707746278,230,-25,-984,2432,-4410,-857,idle-Y
3707747214,230,-25,-984,2450,-4427,-875,idle-Y
3707763416,230,-25,-985,2450,-4427,-875,idle-Y
3707766491,230,-25,-985,2415,-4392,-857,idle-Y
3707780861,230,-25,-984,2415,-4392,-857,idle-Y
3707785766,230,-25,-984,2450,-4410,-875,idle-Y
3707797998,230,-25,-984,2450,-4410,-875,idle-Y
3707804735,230,-25,-984,2450,-4427,-857,idle-Y
3707815137,230,-25,-985,2450,-4427,-857,idle-Y
3707824012,230,-25,-985,2432,-4462,-857,idle-Y
3707832581,230,-25,-984,2432,-4462,-857,idle-Y
3707843286,230,-25,-984,2432,-4445,-840,idle-Y
3707849718,230,-25,-984,2432,-4445,-840,idle-Y
3707862561,230,-25,-984,2432,-4445,-875,idle-Y
3707866856,230,-25,-984,2432,-4445,-875,idle-Y
3707881533,230,-25,-984,2415,-4445,-840,idle-Y
3707883996,230,-25,-984,2415,-4445,-840,idle-Y
3707900808,230,-25,-984,2432,-4462,-857,idle-Y
3707901438,230,-25,-984,2432,-4462,-857,idle-Y
3707918556,230,-25,-984,2432,-4462,-857,idle-Y
3707920103,230,-25,-984,2450,-4445,-857,idle-Y
3707935694,230,-25,-984,2450,-4445,-857,idle-Y
3707939074,230,-25,-984,2432,-4445,-857,idle-Y
3707953139,230,-25,-984,2432,-4445,-857,idle-Y
3707958350,230,-25,-984,2432,-4445,-857,idle-Y
3707970276,230,-25,-985,2432,-4445,-857,idle-Y
3707977624,230,-25,-985,2415,-4445,-857,idle-Y
3707987414,230,-25,-985,2415,-4445,-857,idle-Y
3707996899,230,-25,-985,2432,-4410,-857,idle-Y
3708004858,230,-24,-985,2432,-4410,-857,idle-Y
3708015870,230,-24,-985,2432,-4445,-875,idle-Y
3708021997,230,-25,-984,2432,-4445,-875,idle-Y
3708035146,230,-25,-984,2415,-4427,-857,idle-Y
3708039135,230,-25,-984,2415,-4427,-857,idle-Y
3708054420,230,-25,-984,2415,-4445,-857,idle-Y
3708056577,230,-25,-984,2415,-4445,-857,idle-Y
3708073390,230,-25,-984,2415,-4445,-875,idle-Y
3708074021,230,-25,-984,2415,-4445,-875,idle-Y
3708090835,230,-25,-984,2415,-4445,-875,idle-Y
3708092687,230,-25,-984,2432,-4445,-875,idle-Y
3708108278,230,-24,-984,2432,-4445,-875,idle-Y
3708111961,230,-24,-984,2450,-4427,-910,idle-Y
3708125415,229,-25,-984,2450,-4427,-910,idle-Y
3708131236,229,-25,-984,2432,-4427,-892,idle-Y
3708142553,230,-25,-985,2432,-4427,-892,idle-Y
3708150207,230,-25,-985,2450,-4410,-875,idle-Y
3708159692,230,-24,-984,2450,-4410,-875,idle-Y
3708169482,230,-24,-984,2467,-4445,-892,idle-Y
3708177135,230,-25,-984,2467,-4445,-892,idle-Y
3708188756,230,-25,-984,2450,-4427,-875,idle-Y
3708194272,230,-25,-984,2450,-4427,-875,idle-Y
3708208032,230,-25,-984,2432,-4427,-892,idle-Y
3708211411,230,-25,-984,2432,-4427,-892,idle-Y
3708227002,230,-25,-984,2432,-4410,-875,idle-Y
3708228855,230,-24,-985,2432,-4410,-875,idle-Y
3708245972,230,-25,-985,2415,-4427,-875,idle-Y
3708263103,230,-25,-984,2415,-4427,-875,idle-Y
3708265566,230,-25,-984,2432,-4462,-875,idle-Y
3708280548,230,-25,-984,2432,-4462,-875,idle-Y
3708284538,230,-25,-984,2415,-4445,-875,idle-Y
3708297687,230,-24,-984,2415,-4445,-875,idle-Y
3708303814,230,-24,-984,2415,-4445,-875,idle-Y
3708314826,230,-25,-984,2415,-4445,-875,idle-Y
3708323089,230,-25,-984,2432,-4427,-875,idle-Y
3708332269,230,-25,-984,2432,-4427,-875,idle-Y
3708342365,230,-25,-984,2415,-4462,-857,idle-Y
3708349407,230,-25,-984,2415,-4462,-857,idle-Y
3708361335,230,-25,-984,2450,-4427,-857,idle-Y
3708366545,230,-25,-984,2450,-4427,-857,idle-Y
3708380610,230,-25,-984,2450,-4445,-875,idle-Y
3708383683,230,-25,-984,2450,-4445,-875,idle-Y
3708399884,230,-25,-984,2415,-4427,-892,idle-Y
3708401126,230,-25,-985,2415,-4427,-892,idle-Y
3708418245,229,-25,-984,2415,-4427,-892,idle-Y
3708418875,229,-25,-984,2432,-4427,-875,idle-Y
3708435383,230,-24,-984,2432,-4427,-875,idle-Y
3708438152,230,-24,-984,2432,-4410,-875,idle-Y
3708452826,230,-25,-984,2432,-4410,-875,idle-Y
3708457426,230,-25,-984,2450,-4427,-857,idle-Y
3708469965,230,-25,-984,2450,-4427,-857,idle-Y
3708476398,230,-25,-984,2450,-4427,-840,idle-Y
3708487104,230,-25,-984,2450,-4427,-840,idle-Y
3708495672,230,-25,-984,2467,-4427,-875,idle-Y
3708504545,230,-25,-984,2467,-4427,-875,idle-Y
3708514946,230,-25,-984,2450,-4410,-892,idle-Y
3708521685,230,-25,-984,2450,-4410,-892,idle-Y
3708534223,230,-25,-984,2432,-4427,-875,idle-Y
3708538823,230,-24,-984,2432,-4427,-875,idle-Y
3708553193,230,-24,-984,2415,-4445,-875,idle-Y
3708556267,230,-25,-984,2415,-4445,-875,idle-Y
3708572468,230,-25,-984,2432,-4427,-857,idle-Y
3708573404,230,-25,-984,2432,-4427,-857,idle-Y
3708590522,230,-25,-984,2432,-4427,-857,idle-Y
3708591764,230,-25,-984,2432,-4410,-875,idle-Y
3708607661,230,-24,-984,2432,-4410,-875,idle-Y
3708610735,230,-24,-984,2415,-4427,-857,idle-Y
