time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
3910348967,10,986,-71,2450,-4462,-875,idle-X
3910349903,10,986,-70,2450,-4462,-875,idle-X
3910367021,10,986,-71,2450,-4462,-875,idle-X
3910367958,10,986,-71,2485,-4480,-875,idle-X
3910384161,10,986,-70,2485,-4480,-875,idle-X
3910387234,10,986,-70,2467,-4480,-857,idle-X
3910401299,10,986,-71,2467,-4480,-857,idle-X
3910406204,10,986,-71,2450,-4480,-892,idle-X
3910418741,10,986,-70,2450,-4480,-892,idle-X
3910425479,10,986,-70,2432,-4480,-875,idle-X
3910435880,10,986,-71,2432,-4480,-875,idle-X
3910444754,10,986,-71,2432,-4462,-875,idle-X
3910453019,10,986,-71,2432,-4462,-875,idle-X
3910463725,10,986,-71,2450,-4462,-875,idle-X
3910470158,10,986,-71,2450,-4462,-875,idle-X
3910482999,10,986,-71,2467,-4480,-857,idle-X
3910487600,10,986,-71,2467,-4480,-857,idle-X
3910502275,10,986,-71,2485,-4480,-840,idle-X
3910504737,10,986,-71,2485,-4480,-840,idle-X
3910521246,10,986,-71,2450,-4462,-857,idle-X
3910521876,10,986,-71,2450,-4462,-857,idle-X
3910538995,10,986,-70,2450,-4462,-857,idle-X
3910540542,10,986,-70,2432,-4462,-875,idle-X
3910556439,10,986,-71,2432,-4462,-875,idle-X
3910559819,10,986,-71,2432,-4462,-875,idle-X
3910573578,10,986,-71,2432,-4462,-875,idle-X
3910578790,10,986,-71,2467,-4497,-857,idle-X
3910590718,10,986,-71,2467,-4497,-857,idle-X
3910598066,10,986,-71,2467,-4462,-857,idle-X
3910607856,10,986,-71,2467,-4462,-857,idle-X
3910617036,10,986,-71,2467,-4445,-875,idle-X
3910625299,10,986,-71,2467,-4445,-875,idle-X
3910636310,10,986,-71,2450,-4462,-910,idle-X
3910642437,10,986,-71,2450,-4462,-910,idle-X
3910655586,10,986,-71,2467,-4462,-857,idle-X
3910659575,10,986,-71,2467,-4462,-857,idle-X
3910674557,10,986,-71,2485,-4462,-875,idle-X
3910676715,10,986,-71,2485,-4462,-875,idle-X
3910693833,10,986,-71,2450,-4480,-857,idle-X
3910694463,10,986,-71,2450,-4480,-857,idle-X
3910711275,10,986,-71,2450,-4480,-857,idle-X
3910713128,10,986,-71,2502,-4480,-875,idle-X
3910728415,10,986,-71,2502,-4480,-875,idle-X
3910732100,10,986,-71,2467,-4445,-875,idle-X
3910745554,10,986,-71,2467,-4445,-875,idle-X
3910751375,10,986,-71,2467,-4462,-875,idle-X
3910762692,10,986,-71,2467,-4462,-875,idle-X
3910770651,10,986,-71,2467,-4462,-875,idle-X
3910780137,10,986,-71,2467,-4462,-875,idle-X
3910789622,10,986,-71,2485,-4445,-892,idle-X
3910797275,10,986,-71,2485,-4445,-892,idle-X
3910808897,10,986,-71,2467,-4427,-840,idle-X
3910814413,10,986,-71,2467,-4427,-840,idle-X
3910828172,10,986,-71,2467,-4462,-875,idle-X
3910831551,10,985,-71,2467,-4462,-875,idle-X
3910847143,10,985,-71,2467,-4445,-892,idle-X
3910848995,10,985,-71,2467,-4445,-892,idle-X
3910866113,10,986,-70,2485,-4427,-875,idle-X
3910883243,10,986,-71,2485,-4427,-875,idle-X
3910885401,10,986,-71,2467,-4462,-892,idle-X
3910900382,10,986,-71,2467,-4462,-892,idle-X
3910904677,10,986,-71,2450,-4445,-910,idle-X
3910917827,10,986,-71,2450,-4445,-910,idle-X
3910923953,10,986,-71,2485,-4445,-892,idle-X
3910934965,10,986,-71,2485,-4445,-892,idle-X
3910942923,10,986,-71,2485,-4462,-892,idle-X
3910952103,10,986,-71,2485,-4462,-892,idle-X
3910962198,10,986,-71,2485,-4497,-892,idle-X
3910969240,10,986,-71,2485,-4497,-892,idle-X
3910981473,10,986,-71,2485,-4480,-892,idle-X
3910986683,10,986,-71,2485,-4480,-892,idle-X
3911000442,10,986,-71,2485,-4480,-857,idle-X
3911003823,10,986,-71,2485,-4480,-857,idle-X
3911019718,10,986,-71,2450,-4445,-840,idle-X
3911020960,9,986,-71,2450,-4445,-840,idle-X
3911038079,10,986,-71,2450,-4445,-840,idle-X
3911039015,10,986,-71,2485,-4462,-892,idle-X
3911055523,10,986,-71,2485,-4462,-892,idle-X
3911057986,10,986,-71,2485,-4480,-892,idle-X
3911072661,10,986,-71,2485,-4480,-892,idle-X
3911077261,10,986,-71,2485,-4462,-892,idle-X
3911089800,10,986,-71,2485,-4462,-892,idle-X
3911096537,10,986,-71,2450,-4462,-857,idle-X
3911106939,10,986,-71,2450,-4462,-857,idle-X
3911115507,10,986,-71,2467,-4462,-840,idle-X
3911124382,10,986,-70,2467,-4462,-840,idle-X
3911134783,10,986,-70,2450,-4445,-840,idle-X
3911141520,10,986,-71,2450,-4445,-840,idle-X
3911154058,10,986,-71,2467,-4462,-840,idle-X
3911158657,10,986,-70,2467,-4462,-840,idle-X
3911173028,10,986,-70,2450,-4480,-875,idle-X
3911175796,10,986,-70,2450,-4480,-875,idle-X
3911192303,10,986,-70,2450,-4445,-840,idle-X
3911193240,10,986,-71,2450,-4445,-840,idle-X
3911210358,10,986,-71,2450,-4445,-840,idle-X
3911211295,10,986,-71,2467,-4462,-875,idle-X
3911227496,10,986,-71,2467,-4462,-875,idle-X
3911230570,10,986,-71,2467,-4462,-910,idle-X
3911244636,10,986,-71,2467,-4462,-910,idle-X
3911249847,10,986,-71,2450,-4462,-875,idle-X
3911262079,10,986,-71,2450,-4462,-875,idle-X
3911268816,10,986,-71,2450,-4480,-875,idle-X
3911279218,10,986,-70,2450,-4480,-875,idle-X
3911288092,10,986,-70,2485,-4480,-857,idle-X
3911296355,10,986,-71,2485,-4480,-857,idle-X
3911307367,10,986,-71,2467,-4480,-875,idle-X
3911313800,10,986,-71,2467,-4480,-875,idle-X
3911326337,10,986,-71,2485,-4480,-892,idle-X
3911330937,10,986,-71,2485,-4480,-892,idle-X
3911345613,10,986,-71,2467,-4445,-875,idle-X
3911348076,10,986,-71,2467,-4445,-875,idle-X
3911364888,10,986,-71,2450,-4445,-875,idle-X
3911365518,10,986,-71,2450,-4445,-875,idle-X
3911382636,10,986,-70,2450,-4445,-875,idle-X
3911383878,10,986,-70,2450,-4462,-910,idle-X
3911399775,10,986,-71,2450,-4462,-910,idle-X
3911403154,10,986,-71,2467,-4445,-875,idle-X
3911416913,10,986,-71,2467,-4445,-875,idle-X
3911422428,10,986,-71,2450,-4427,-875,idle-X
3911434051,10,986,-71,2450,-4427,-875,idle-X
3911441399,10,986,-71,2450,-4462,-892,idle-X
3911451495,10,986,-71,2450,-4462,-892,idle-X
3911460674,10,986,-71,2467,-4462,-875,idle-X
3911468633,10,986,-71,2467,-4462,-875,idle-X
3911479950,10,986,-71,2450,-4445,-857,idle-X
3911485771,10,986,-71,2450,-4445,-857,idle-X
3911498920,10,986,-71,2467,-4392,-875,idle-X
3911502909,10,986,-70,2467,-4392,-875,idle-X
3911518195,10,986,-70,2467,-4375,-892,idle-X
3911520353,10,986,-71,2467,-4375,-892,idle-X
3911537471,10,986,-71,2485,-4410,-875,idle-X
3911554602,10,986,-71,2485,-4410,-875,idle-X
3911556454,10,986,-71,2502,-4480,-857,idle-X
3911571741,10,986,-71,2502,-4480,-857,idle-X
3911575731,10,986,-71,2502,-4515,-857,idle-X
3911589186,10,986,-71,2502,-4515,-857,idle-X
3911595007,10,986,-71,2467,-4532,-875,idle-X
3911606324,10,986,-70,2467,-4532,-875,idle-X
3911613976,10,986,-70,2450,-4497,-875,idle-X
3911623460,10,986,-71,2450,-4497,-875,idle-X
3911633251,10,986,-71,2450,-4462,-875,idle-X
3911640599,10,986,-71,2450,-4462,-875,idle-X
3911652221,10,986,-71,2432,-4427,-857,idle-X
3911658042,9,986,-71,2432,-4427,-857,idle-X
3911671496,9,986,-71,2450,-4427,-875,idle-X
3911675181,10,986,-71,2450,-4427,-875,idle-X
3911690771,10,986,-71,2450,-4462,-857,idle-X
3911692319,10,986,-71,2450,-4462,-857,idle-X
3911709436,10,986,-70,2450,-4480,-857,idle-X
3911726872,10,986,-71,2450,-4480,-857,idle-X
3911729030,10,986,-71,2467,-4462,-875,idle-X
3911744011,10,986,-70,2467,-4462,-875,idle-X
3911748306,10,986,-70,2485,-4497,-892,idle-X
3911761149,10,986,-71,2485,-4497,-892,idle-X
3911767275,10,986,-71,2450,-4480,-840,idle-X
3911778286,10,986,-71,2450,-4480,-840,idle-X
3911786550,10,986,-71,2485,-4462,-857,idle-X
3911795729,9,986,-70,2485,-4462,-857,idle-X
3911805826,9,986,-70,2450,-4445,-892,idle-X
3911812868,10,986,-71,2450,-4445,-892,idle-X
3911824797,10,986,-71,2502,-4445,-892,idle-X
3911830007,10,986,-71,2502,-4445,-892,idle-X
3911844073,10,986,-71,2485,-4445,-892,idle-X
3911847146,10,986,-71,2485,-4445,-892,idle-X
3911863347,10,986,-71,2467,-4462,-892,idle-X
3911864588,10,986,-71,2467,-4462,-892,idle-X
3911881707,10,986,-71,2467,-4462,-892,idle-X
3911882337,10,986,-71,2485,-4462,-875,idle-X
3911898847,10,986,-71,2485,-4462,-875,idle-X
3911901614,10,986,-71,2467,-4462,-875,idle-X
3911915983,10,986,-71,2467,-4462,-875,idle-X
3911920887,10,986,-71,2432,-4480,-892,idle-X
3911933425,10,986,-71,2432,-4480,-892,idle-X
3911939858,10,986,-71,2450,-4462,-892,idle-X
3911950564,10,986,-71,2450,-4462,-892,idle-X
3911959135,10,986,-71,2485,-4410,-857,idle-X
3911967703,10,986,-71,2485,-4410,-857,idle-X
3911978410,10,986,-71,2450,-4427,-910,idle-X
3911984843,10,986,-70,2450,-4427,-910,idle-X
3911997380,10,986,-70,2485,-4462,-875,idle-X
3912002286,10,986,-70,2485,-4462,-875,idle-X
3912016656,10,986,-70,2467,-4445,-857,idle-X
3912019424,10,986,-71,2467,-4445,-857,idle-X
3912035933,10,986,-71,2467,-4445,-857,idle-X
3912036564,10,986,-71,2467,-4445,-857,idle-X
3912053987,10,986,-71,2467,-4445,-857,idle-X
3912054923,10,986,-71,2450,-4462,-857,idle-X
3912071125,9,986,-71,2450,-4462,-857,idle-X
3912074198,9,986,-71,2467,-4462,-875,idle-X
3912088263,10,986,-71,2467,-4462,-875,idle-X
3912093475,10,986,-71,2485,-4462,-875,idle-X
3912105403,10,986,-72,2485,-4462,-875,idle-X
3912112750,10,986,-72,2450,-4445,-875,idle-X
3912122846,10,986,-71,2450,-4445,-875,idle-X
3912131721,10,986,-71,2467,-4462,-857,idle-X
3912139985,10,986,-71,2467,-4462,-857,idle-X
3912150997,10,986,-71,2467,-4480,-840,idle-X
3912157124,10,986,-72,2467,-4480,-840,idle-X
3912170273,10,986,-72,2467,-4462,-857,idle-X
3912174567,10,986,-71,2467,-4462,-857,idle-X
3912189243,10,986,-71,2467,-4462,-875,idle-X
3912191706,10,986,-71,2467,-4462,-875,idle-X
3912208519,10,986,-71,2450,-4462,-875,idle-X
3912209149,10,986,-71,2450,-4462,-875,idle-X
3912225963,10,986,-71,2450,-4462,-875,idle-X
3912227814,10,986,-71,2432,-4480,-857,idle-X
3912243405,10,986,-71,2432,-4480,-857,idle-X
3912246785,10,986,-71,2467,-4462,-875,idle-X
3912260545,10,986,-71,2467,-4462,-875,idle-X
3912266061,10,986,-71,2432,-4480,-857,idle-X
3912277682,10,985,-71,2432,-4480,-857,idle-X
3912285335,10,985,-71,2467,-4462,-857,idle-X
3912295126,9,986,-70,2467,-4462,-857,idle-X
3912304305,9,986,-70,2467,-4497,-857,idle-X
3912312263,10,986,-70,2467,-4497,-857,idle-X
3912323580,10,986,-70,2485,-4480,-875,idle-X
3912329402,10,986,-71,2485,-4480,-875,idle-X
3912342856,10,986,-71,2467,-4462,-875,idle-X
3912346541,9,986,-71,2467,-4462,-875,idle-X
3912361828,9,986,-71,2467,-4462,-875,idle-X
3912363986,10,986,-70,2467,-4462,-875,idle-X
3912381104,10,986,-71,2485,-4445,-875,idle-X
3912398235,10,986,-71,2485,-4445,-875,idle-X
3912400392,10,986,-71,2467,-4445,-875,idle-X
3912415678,9,986,-71,2467,-4445,-875,idle-X
3912419363,9,986,-71,2450,-4445,-840,idle-X
3912432816,10,986,-70,2450,-4445,-840,idle-X
3912438638,10,986,-70,2467,-4480,-857,idle-X
3912449954,9,986,-71,2467,-4480,-857,idle-X
3912457913,9,986,-71,2450,-4462,-875,idle-X
3912467092,10,986,-71,2450,-4462,-875,idle-X
3912476883,10,986,-71,2467,-4462,-892,idle-X
3912484536,10,986,-71,2467,-4462,-892,idle-X
3912496159,10,986,-71,2467,-4497,-857,idle-X
3912501674,10,986,-71,2467,-4497,-857,idle-X
3912515433,10,986,-71,2450,-4480,-875,idle-X
3912518812,10,986,-71,2450,-4480,-875,idle-X
3912534404,10,986,-71,2485,-4445,-892,idle-X
3912535951,10,985,-71,2485,-4445,-892,idle-X
3912553375,10,986,-71,2467,-4462,-892,idle-X
3912570505,10,986,-71,2467,-4462,-892,idle-X
3912572967,10,986,-71,2450,-4445,-875,idle-X
3912587642,10,986,-71,2450,-4445,-875,idle-X
3912592242,10,986,-71,2467,-4462,-857,idle-X
3912605086,10,986,-70,2467,-4462,-857,idle-X
3912611213,10,986,-70,2485,-4462,-857,idle-X
3912622225,10,986,-71,2485,-4462,-857,idle-X
3912630488,10,986,-71,2467,-4462,-857,idle-X
3912639363,10,986,-71,2467,-4462,-857,idle-X
3912649763,10,986,-71,2485,-4462,-892,idle-X
3912656806,10,986,-71,2485,-4462,-892,idle-X
3912669038,10,986,-71,2467,-4462,-892,idle-X
3912673944,9,986,-71,2467,-4462,-892,idle-X
3912688009,9,986,-71,2467,-4445,-910,idle-X
3912691083,10,986,-71,2467,-4445,-910,idle-X
3912707285,10,986,-71,2432,-4462,-892,idle-X
3912708526,10,986,-71,2432,-4462,-892,idle-X
3912725644,10,986,-71,2432,-4462,-892,idle-X
3912726580,10,986,-71,2450,-4462,-875,idle-X
3912742783,10,986,-71,2450,-4462,-875,idle-X
3912745551,10,986,-71,2485,-4497,-857,idle-X
3912760226,10,986,-70,2485,-4497,-857,idle-X
