time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
4131548935,1,-1011,-67,2450,-4480,-875,idle+X
4131555061,1,-1011,-67,2450,-4497,-892,idle+X
4131566072,1,-1011,-67,2450,-4497,-892,idle+X
4131574336,1,-1011,-67,2467,-4480,-875,idle+X
4131583211,1,-1011,-67,2467,-4480,-875,idle+X
4131593307,1,-1011,-67,2450,-4480,-892,idle+X
4131600654,1,-1011,-67,2450,-4480,-892,idle+X
4131612581,1,-1011,-67,2502,-4480,-875,idle+X
4131617792,1,-1011,-67,2502,-4480,-875,idle+X
4131631857,1,-1011,-67,2485,-4462,-892,idle+X
4131634931,1,-1011,-67,2485,-4462,-892,idle+X
4131650829,1,-1011,-67,2450,-4480,-857,idle+X
4131652070,2,-1011,-67,2450,-4480,-857,idle+X
4131669188,1,-1011,-67,2450,-4480,-857,idle+X
4131670124,1,-1011,-67,2450,-4480,-875,idle+X
4131686631,1,-1011,-67,2450,-4480,-875,idle+X
4131689094,1,-1011,-67,2467,-4497,-892,idle+X
4131703771,1,-1011,-67,2467,-4497,-892,idle+X
4131708371,1,-1011,-67,2502,-4480,-875,idle+X
4131720910,1,-1011,-67,2502,-4480,-875,idle+X
4131727646,1,-1011,-67,2485,-4480,-875,idle+X
4131738048,1,-1011,-67,2485,-4480,-875,idle+X
4131746617,1,-1011,-67,2485,-4462,-910,idle+X
4131755492,1,-1011,-67,2485,-4462,-910,idle+X
4131765893,1,-1011,-67,2467,-4410,-927,idle+X
4131772631,1,-1011,-67,2467,-4410,-927,idle+X
4131785168,1,-1011,-67,2485,-4445,-910,idle+X
4131789768,1,-1011,-66,2485,-4445,-910,idle+X
4131804138,1,-1011,-66,2485,-4480,-892,idle+X
4131806907,1,-1011,-67,2485,-4480,-892,idle+X
4131823414,1,-1011,-67,2485,-4497,-875,idle+X
4131824350,1,-1011,-66,2485,-4497,-875,idle+X
4131841469,1,-1011,-66,2485,-4497,-875,idle+X
4131842406,1,-1011,-66,2502,-4497,-875,idle+X
4131858608,1,-1011,-67,2502,-4497,-875,idle+X
4131861682,1,-1011,-67,2485,-4497,-857,idle+X
4131875746,1,-1011,-67,2485,-4497,-857,idle+X
4131880956,1,-1011,-67,2502,-4462,-857,idle+X
4131893190,2,-1011,-67,2502,-4462,-857,idle+X
4131899927,2,-1011,-67,2485,-4480,-892,idle+X
4131910328,1,-1011,-67,2485,-4480,-892,idle+X
4131919203,1,-1011,-67,2502,-4480,-892,idle+X
