time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
2520855720,-189,441,849,3080,-4270,-1312,pick'n'drop
2520861235,-190,440,849,3080,-4270,-1312,pick'n'drop
2520874993,-190,440,849,2800,-4585,-945,pick'n'drop
2520878371,-191,438,849,2800,-4585,-945,pick'n'drop
2520893961,-191,438,849,2695,-4550,-682,pick'n'drop
2520895813,-190,438,850,2695,-4550,-682,pick'n'drop
2520912930,-192,438,849,2660,-4392,-490,pick'n'drop
2520930059,-191,438,849,2660,-4392,-490,pick'n'drop
2520932521,-191,438,849,2677,-4270,-507,pick'n'drop
2520947501,-191,439,850,2677,-4270,-507,pick'n'drop
2520951491,-191,439,850,2695,-4305,-665,pick'n'drop
2520964639,-191,439,850,2695,-4305,-665,pick'n'drop
2520970765,-191,439,850,2730,-4375,-997,pick'n'drop
2520981776,-191,439,849,2730,-4375,-997,pick'n'drop
2520990039,-191,439,849,2765,-4375,-1347,pick'n'drop
2520998913,-192,438,849,2765,-4375,-1347,pick'n'drop
2521009313,-192,438,849,2695,-4392,-1680,pick'n'drop
2521016354,-190,439,850,2695,-4392,-1680,pick'n'drop
2521028281,-190,439,850,2660,-4357,-1785,pick'n'drop
2521033491,-190,439,849,2660,-4357,-1785,pick'n'drop
2521047555,-190,439,849,2730,-4340,-1627,pick'n'drop
2521050628,-190,438,849,2730,-4340,-1627,pick'n'drop
2521066829,-190,438,849,2782,-4427,-1365,pick'n'drop
2521068070,-191,439,848,2782,-4427,-1365,pick'n'drop
2521085187,-190,441,850,2782,-4427,-1365,pick'n'drop
2521085817,-190,441,850,2520,-4725,-1172,pick'n'drop
2521102323,-189,439,849,2520,-4725,-1172,pick'n'drop
2521105091,-189,439,849,2117,-4970,-1120,pick'n'drop
2521119460,-188,438,849,2117,-4970,-1120,pick'n'drop
2521124364,-188,438,849,1820,-4970,-1120,pick'n'drop
2521136901,-191,439,850,1820,-4970,-1120,pick'n'drop
2521143333,-191,439,850,1680,-4952,-927,pick'n'drop
2521154038,-193,436,849,1680,-4952,-927,pick'n'drop
2521162607,-193,436,849,1750,-4830,-682,pick'n'drop
2521171175,-194,436,850,1750,-4830,-682,pick'n'drop
2521181881,-194,436,850,2012,-4480,-507,pick'n'drop
2521188617,-193,437,850,2012,-4480,-507,pick'n'drop
2521200849,-193,437,850,2327,-4287,-402,pick'n'drop
2521205754,-193,437,849,2327,-4287,-402,pick'n'drop
2521220123,-193,437,849,2625,-4252,-472,pick'n'drop
2521222891,-192,440,850,2625,-4252,-472,pick'n'drop
2521239396,-192,440,850,2747,-4375,-595,pick'n'drop
2521240026,-192,440,849,2747,-4375,-595,pick'n'drop
2521257449,-192,437,849,2747,-4375,-595,pick'n'drop
2521258386,-192,437,849,2765,-4462,-717,pick'n'drop
2521274587,-192,438,850,2765,-4462,-717,pick'n'drop
2521277659,-192,438,850,2677,-4410,-892,pick'n'drop
2521291722,-191,438,850,2677,-4410,-892,pick'n'drop
2521296933,-191,438,850,2502,-4427,-927,pick'n'drop
2521309165,-191,438,849,2502,-4427,-927,pick'n'drop
2521315902,-191,438,849,2345,-4515,-822,pick'n'drop
2521326303,-191,439,849,2345,-4515,-822,pick'n'drop
2521335177,-191,439,849,2117,-4690,-647,pick'n'drop
2521343440,-191,437,850,2117,-4690,-647,pick'n'drop
2521354450,-191,437,850,1960,-4602,-472,pick'n'drop
