time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
1088572636,333,601,753,18795,7682,24272,chopping
1088574183,304,576,775,18795,7682,24272,chopping
1088591299,354,585,731,17552,-3937,21840,chopping
1088608429,381,513,673,17552,-3937,21840,chopping
1088610892,381,513,673,12022,-17622,18672,chopping
1088625871,370,438,673,12022,-17622,18672,chopping
1088630165,370,438,673,5110,-18287,14490,chopping
1088643007,385,446,661,5110,-18287,14490,chopping
1088649133,385,446,661,-1732,-12950,10132,chopping
1088660143,331,420,646,-1732,-12950,10132,chopping
1088668407,331,420,646,-9257,-13387,3465,chopping
1088677279,302,434,635,-9257,-13387,3465,chopping
1088687679,302,434,635,-16012,-10167,-2257,chopping
1088694721,345,552,648,-16012,-10167,-2257,chopping
1088706952,345,552,648,-20142,-8050,-4830,chopping
1088711858,254,376,790,-20142,-8050,-4830,chopping
1088725920,254,376,790,-16642,-4112,-13860,chopping
1088728994,299,532,775,-16642,-4112,-13860,chopping
1088745194,299,532,775,-12495,-3220,-15032,chopping
1088746435,269,578,707,-12495,-3220,-15032,chopping
1088763553,270,530,765,-12495,-3220,-15032,chopping
1088764489,270,530,765,-10185,-14840,-18130,chopping
1088780690,149,422,879,-10185,-14840,-18130,chopping
1088783458,149,422,879,-735,262,-18497,chopping
1088798133,316,582,971,-735,262,-18497,chopping
1088802733,316,582,971,20807,37100,-15120,chopping
1088815270,325,775,896,20807,37100,-15120,chopping
1088822007,325,775,896,36575,41300,-9432,chopping
1088832407,419,735,839,36575,41300,-9432,chopping
1088840975,419,735,839,45780,23905,-3010,chopping
1088849849,471,825,691,45780,23905,-3010,chopping
1088860249,471,825,691,47215,15995,8872,chopping
1088866985,541,803,580,47215,15995,8872,chopping
1088879523,541,803,580,38937,-5425,14805,chopping
1088884123,568,668,523,38937,-5425,14805,chopping
1088898797,568,668,523,31010,-11760,19337,chopping
1088901259,540,503,523,31010,-11760,19337,chopping
1088917765,540,503,523,28735,10290,23415,chopping
1088918701,494,515,528,28735,10290,23415,chopping
1088935817,488,587,532,28735,10290,23415,chopping
1088937058,488,587,532,25760,26460,26670,chopping
1088952952,434,543,553,25760,26460,26670,chopping
1088956331,434,543,553,17202,13667,25112,chopping
1088970395,470,509,551,17202,13667,25112,chopping
1088975299,470,509,551,7647,9327,23765,chopping
1088987530,494,525,665,7647,9327,23765,chopping
1088994573,494,525,665,-297,14332,22557,chopping
1089004667,315,569,662,-297,14332,22557,chopping
1089013846,315,569,662,-7787,2362,18235,chopping
1089022109,301,456,674,-7787,2362,18235,chopping
1089033120,301,456,674,-15557,-18112,6072,chopping
1089039246,277,343,705,-15557,-18112,6072,chopping
1089052088,277,343,705,-18130,-11375,-5670,chopping
1089056383,222,335,732,-18130,-11375,-5670,chopping
1089071362,222,335,732,-14087,15155,-15347,chopping
1089073824,165,463,863,-14087,15155,-15347,chopping
1089090636,165,463,863,-122,32025,-20195,chopping
1089091266,127,675,1013,-122,32025,-20195,chopping
1089108077,228,765,1116,-122,32025,-20195,chopping
1089109929,228,765,1116,23135,28892,-20947,chopping
1089125519,338,839,1003,23135,28892,-20947,chopping
1089128899,338,839,1003,44975,4060,-21280,chopping
1089142656,450,811,769,44975,4060,-21280,chopping
1089148171,450,811,769,52885,-34212,-19267,chopping
1089159792,538,631,570,52885,-34212,-19267,chopping
1089167445,538,631,570,47617,-49630,-16782,chopping
1089177235,576,560,431,47617,-49630,-16782,chopping
1089186413,576,560,431,34090,-34790,-12075,chopping
1089194371,567,544,402,34090,-34790,-12075,chopping
1089205686,567,544,402,18060,-20965,-9117,chopping
1089211507,526,524,462,18060,-20965,-9117,chopping
1089224961,526,524,462,7052,-11620,-8085,chopping
1089228950,484,498,550,7052,-11620,-8085,chopping
1089244235,484,498,550,4252,-280,-8470,chopping
1089246087,469,512,606,4252,-280,-8470,chopping
1089263204,468,543,617,5600,8977,-9240,chopping
1089280639,471,584,634,5600,8977,-9240,chopping
