time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
368779410,-287,926,216,13930,12372,9327,brushing
368796844,-263,938,213,13930,12372,9327,brushing
368799002,-263,938,213,15610,21997,11847,brushing
368813982,-231,949,210,15610,21997,11847,brushing
368818277,-231,949,210,16030,24395,13562,brushing
368831118,-198,935,201,16030,24395,13562,brushing
368837550,-198,935,201,15382,22190,14385,brushing
368848561,-176,928,197,15382,22190,14385,brushing
368856518,-176,928,197,14017,18812,14472,brushing
368865697,-164,932,189,14017,18812,14472,brushing
368875792,-164,932,189,12337,15172,14315,brushing
368882833,-162,936,180,12337,15172,14315,brushing
368895065,-162,936,180,10517,12582,14122,brushing
368899969,-166,940,183,10517,12582,14122,brushing
368914033,-166,940,183,9205,11287,14052,brushing
368917412,-178,953,186,9205,11287,14052,brushing
368933307,-178,953,186,8627,10902,14402,brushing
368934547,-196,980,192,8627,10902,14402,brushing
368951664,-212,999,196,8627,10902,14402,brushing
368952600,-212,999,196,8995,9275,15295,brushing
368969106,-225,1003,193,8995,9275,15295,brushing
368971569,-225,1003,193,10062,6492,16467,brushing
368986243,-229,989,184,10062,6492,16467,brushing
368990842,-229,989,184,11392,4882,17272,brushing
369003380,-224,970,176,11392,4882,17272,brushing
369010116,-224,970,176,12897,6790,17150,brushing
369020515,-212,961,166,12897,6790,17150,brushing
369029389,-212,961,166,14402,10640,16222,brushing
369037958,-200,962,157,14402,10640,16222,brushing
369048358,-200,962,157,15225,12337,15102,brushing
369055093,-183,963,143,15225,12337,15102,brushing
369067631,-183,963,143,14700,10465,14070,brushing
369072229,-170,951,134,14700,10465,14070,brushing
369086902,-170,951,134,13020,7000,12792,brushing
369089365,-157,928,129,13020,7000,12792,brushing
369105870,-157,928,129,11235,5250,11007,brushing
369106807,-151,914,126,11235,5250,11007,brushing
369123923,-150,926,115,11235,5250,11007,brushing
369125165,-150,926,115,9677,5810,8907,brushing
369141060,-155,935,113,9677,5810,8907,brushing
369144439,-155,935,113,7840,4567,6615,brushing
369158502,-156,945,114,7840,4567,6615,brushing
369163407,-156,945,114,6125,1995,4497,brushing
369175639,-161,961,112,6125,1995,4497,brushing
369182680,-161,961,112,4707,-560,3115,brushing
369192775,-162,970,102,4707,-560,3115,brushing
369201954,-162,970,102,3150,-2607,2170,brushing
369209912,-163,979,97,3150,-2607,2170,brushing
369221227,-163,979,97,1347,-4200,1382,brushing
369227353,-160,978,99,1347,-4200,1382,brushing
369240196,-160,978,99,-350,-5862,717,brushing
369244490,-161,962,110,-350,-5862,717,brushing
369259469,-161,962,110,-1522,-7735,-490,brushing
369261627,-159,940,118,-1522,-7735,-490,brushing
369278742,-159,940,118,-2152,-9432,-2310,brushing
369279372,-155,913,120,-2152,-9432,-2310,brushing
369296184,-152,891,120,-2152,-9432,-2310,brushing
369297731,-152,891,120,-2642,-9940,-4707,brushing
369313321,-149,880,114,-2642,-9940,-4707,brushing
369317005,-149,880,114,-2922,-7490,-7227,brushing
369330458,-143,887,119,-2922,-7490,-7227,brushing
369336278,-143,887,119,-3150,-4165,-9642,brushing
369347899,-138,891,121,-3150,-4165,-9642,brushing
369355552,-138,891,121,-3325,-3587,-11795,brushing
369365036,-138,892,119,-3325,-3587,-11795,brushing
369374521,-138,892,119,-3622,-4200,-13090,brushing
369382174,-146,904,115,-3622,-4200,-13090,brushing
369393795,-146,904,115,-3955,-2887,-12845,brushing
369399615,-154,921,114,-3955,-2887,-12845,brushing
369413068,-154,921,114,-4147,1137,-11410,brushing
369416752,-157,940,119,-4147,1137,-11410,brushing
369432036,-157,940,119,-4130,6947,-9695,brushing
369433889,-161,970,120,-4130,6947,-9695,brushing
369451311,-164,1007,120,-4200,11567,-8417,brushing
369468439,-168,1036,114,-4200,11567,-8417,brushing
369470596,-168,1036,114,-4812,12232,-7420,brushing
369485576,-169,1049,108,-4812,12232,-7420,brushing
369489564,-169,1049,108,-6055,10080,-5722,brushing
369502712,-168,1049,104,-6055,10080,-5722,brushing
369508837,-168,1049,104,-7630,7402,-3220,brushing
369520153,-168,1043,102,-7630,7402,-3220,brushing
369528111,-168,1043,102,-8907,5600,-105,brushing
369537289,-166,1041,103,-8907,5600,-105,brushing
369547385,-166,1041,103,-9502,3972,3062,brushing
369554427,-164,1030,104,-9502,3972,3062,brushing
