time[us],acc_l_x[mg],acc_l_y[mg],acc_l_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],label
2002909756,-141,230,930,3202,-2782,1155,cleaning
2002919241,-142,223,934,3202,-2782,1155,cleaning
2002928725,-142,223,934,3482,-1522,1102,cleaning
2002936377,-144,230,942,3482,-1522,1102,cleaning
2002947999,-144,230,942,3710,-857,1032,cleaning
2002953514,-146,234,950,3710,-857,1032,cleaning
2002967273,-146,234,950,4392,-1015,1050,cleaning
2002970651,-142,233,940,4392,-1015,1050,cleaning
2002986546,-142,233,940,4777,-1365,700,cleaning
2002988094,-136,229,931,4777,-1365,700,cleaning
2003005210,-141,235,930,4445,-1925,245,cleaning
2003022339,-146,243,932,4445,-1925,245,cleaning
2003024802,-146,243,932,4252,-2607,70,cleaning
2003039780,-145,242,934,4252,-2607,70,cleaning
2003044074,-145,242,934,3867,-3780,-315,cleaning
2003056917,-138,239,933,3867,-3780,-315,cleaning
2003063044,-138,239,933,3622,-4515,-717,cleaning
2003074055,-137,237,940,3622,-4515,-717,cleaning
2003082317,-137,237,940,3167,-5040,-1330,cleaning
2003091192,-139,243,955,3167,-5040,-1330,cleaning
2003101592,-139,243,955,3342,-5827,-1732,cleaning
2003108634,-135,236,950,3342,-5827,-1732,cleaning
2003120866,-135,236,950,3797,-6475,-1890,cleaning
2003125770,-134,225,940,3797,-6475,-1890,cleaning
2003139834,-134,225,940,3710,-6352,-2257,cleaning
2003142907,-133,228,938,3710,-6352,-2257,cleaning
2003159108,-133,228,938,3115,-6562,-2432,cleaning
2003160350,-137,232,940,3115,-6562,-2432,cleaning
2003177467,-142,232,940,3115,-6562,-2432,cleaning
2003178403,-142,232,940,2817,-6790,-2117,cleaning
2003194604,-137,227,931,2817,-6790,-2117,cleaning
2003197373,-137,227,931,2852,-6755,-2012,cleaning
2003211742,-133,227,927,2852,-6755,-2012,cleaning
2003216647,-133,227,927,2222,-6755,-1995,cleaning
2003229185,-135,231,937,2222,-6755,-1995,cleaning
2003235921,-135,231,937,1540,-6807,-1715,cleaning
2003246322,-142,229,948,1540,-6807,-1715,cleaning
2003254889,-142,229,948,1662,-6527,-1400,cleaning
2003263458,-139,224,946,1662,-6527,-1400,cleaning
2003274163,-139,224,946,2030,-6317,-1400,cleaning
2003280900,-137,215,938,2030,-6317,-1400,cleaning
2003293438,-137,215,938,2082,-6090,-1627,cleaning
2003298038,-138,222,940,2082,-6090,-1627,cleaning
2003312712,-138,222,940,2047,-6090,-1750,cleaning
2003315175,-138,225,940,2047,-6090,-1750,cleaning
2003331680,-138,225,940,1960,-6352,-1487,cleaning
2003332310,-140,233,942,1960,-6352,-1487,cleaning
2003349732,-142,226,944,1960,-6352,-1487,cleaning
2003350974,-142,226,944,1785,-7192,-1260,cleaning
2003366869,-146,222,945,1785,-7192,-1260,cleaning
2003370247,-146,222,945,1925,-7122,-1277,cleaning
2003384005,-138,212,936,1925,-7122,-1277,cleaning
2003389216,-138,212,936,2030,-6912,-1645,cleaning
2003401447,-134,219,940,2030,-6912,-1645,cleaning
2003408489,-134,219,940,1785,-7070,-2065,cleaning
2003418583,-138,228,939,1785,-7070,-2065,cleaning
2003427763,-138,228,939,1435,-7525,-1942,cleaning
2003435720,-139,218,939,1435,-7525,-1942,cleaning
2003446730,-139,218,939,1102,-7350,-1627,cleaning
2003452857,-140,216,944,1102,-7350,-1627,cleaning
2003466005,-140,216,944,1242,-7140,-1732,cleaning
2003470300,-143,216,945,1242,-7140,-1732,cleaning
2003485279,-143,216,945,1575,-6580,-1767,cleaning
2003487436,-137,216,945,1575,-6580,-1767,cleaning
2003504552,-139,218,945,1837,-6037,-1435,cleaning
2003521986,-139,211,944,1837,-6037,-1435,cleaning
2003523533,-139,211,944,2082,-5880,-980,cleaning
2003539123,-144,206,941,2082,-5880,-980,cleaning
2003542807,-144,206,941,2310,-5250,-577,cleaning
2003556259,-144,207,934,2310,-5250,-577,cleaning
2003562080,-144,207,934,2362,-4322,-525,cleaning
2003573396,-143,212,936,2362,-4322,-525,cleaning
2003581049,-143,212,936,1995,-3955,-507,cleaning
2003590838,-145,217,942,1995,-3955,-507,cleaning
2003600322,-145,217,942,1925,-3745,-455,cleaning
2003607974,-145,217,946,1925,-3745,-455,cleaning
2003619596,-145,217,946,1995,-3710,-297,cleaning
2003625112,-144,218,945,1995,-3710,-297,cleaning
2003638564,-144,218,945,1977,-4270,-280,cleaning
2003642553,-143,212,942,1977,-4270,-280,cleaning
2003657837,-143,212,942,1855,-4462,-332,cleaning
2003659689,-141,214,942,1855,-4462,-332,cleaning
2003676806,-144,211,942,1802,-4672,-332,cleaning
2003694240,-144,214,944,1802,-4672,-332,cleaning
2003696398,-144,214,944,1942,-4462,-612,cleaning
2003711378,-145,219,949,1942,-4462,-612,cleaning
2003715367,-145,219,949,2152,-4462,-735,cleaning
2003728514,-142,224,946,2152,-4462,-735,cleaning
2003734641,-142,224,946,2537,-4497,-385,cleaning
2003745652,-142,214,937,2537,-4497,-385,cleaning
2003753915,-142,214,937,2555,-4445,-52,cleaning
2003763093,-139,207,933,2555,-4445,-52,cleaning
2003772883,-139,207,933,2362,-4147,-122,cleaning
2003780230,-140,206,933,2362,-4147,-122,cleaning
2003792156,-140,206,933,2257,-3692,-262,cleaning
2003797366,-141,217,932,2257,-3692,-262,cleaning
2003811429,-141,217,932,2047,-3972,-227,cleaning
2003814504,-146,218,942,2047,-3972,-227,cleaning
2003830704,-146,218,942,2135,-3815,87,cleaning
2003831946,-145,219,945,2135,-3815,87,cleaning
2003849062,-143,211,946,2135,-3815,87,cleaning
2003849692,-143,211,946,2520,-3552,402,cleaning
2003866199,-137,212,942,2520,-3552,402,cleaning
2003868967,-137,212,942,2747,-3062,490,cleaning
2003883641,-140,213,942,2747,-3062,490,cleaning
2003888241,-140,213,942,2852,-2625,682,cleaning
2003900778,-141,217,943,2852,-2625,682,cleaning
2003907210,-141,217,943,2957,-1645,1120,cleaning
2003917915,-144,222,945,2957,-1645,1120,cleaning
2003926484,-144,222,945,3150,-1015,1837,cleaning
2003935357,-142,213,941,3150,-1015,1837,cleaning
2003945757,-142,213,941,3062,-595,2240,cleaning
2003952494,-144,212,937,3062,-595,2240,cleaning
